AnimalID,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A671945,Return_to_owner,,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
A656520,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
A686464,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A683430,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
A667013,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
A677334,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A701489,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A671784,Adoption,,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
A677747,Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White
A668402,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A666320,Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
A684601,Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
A704702,Return_to_owner,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
A688584,Return_to_owner,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
A678825,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A678050,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A680028,Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
A679010,Transfer,Partner,Cat,Intact Female,2 years,Angora Mix,White
A684787,Return_to_owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A670658,Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
A708812,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
A705262,Adoption,,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
A665781,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
A676333,Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
A712750,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
A718832,Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
A698777,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
A715348,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
A708666,Return_to_owner,,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
A718535,Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707341,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
A682532,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A666825,Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
A699723,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A668626,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
A657085,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
